新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
时尚	“时尚”一词已是这个世界的潮流代言词，英文为fashion，几乎是经常挂在某些人的嘴边，频繁出现在报刊媒体上。很多人对时尚的理解都不同，有人认为时尚即是简单，与其奢华浪费，不如朴素节俭；有时时尚只是为了标新立异；给人焕然一新拥有时尚王风范的感觉，现实中很多与时尚不同步的人被指为老土、落伍；所谓时尚，是时与尚的结合体。所谓时，乃时间，时下，即在一个时间段内；尚，则有崇尚，高尚，高品位，领先。时尚在这个时代而言的，不只是为了修饰，而已经演化成了一种追求真善美的意识。
保暖	保暖：一种取暖的手段保暖：dc漫画角色
客厅	客厅（Living room）也叫起居室，是主人与客人会面的地方，也是房子的门面。客厅的摆设、颜色都能反映主人的性格、特点、眼光、个性等。客厅宜用浅色，让客人有耳目一新的感觉，使来宾消除一天奔波的疲劳。
纯棉	纯棉织物是以棉花为原料，通过织机，由经纬纱纵横沉浮相互交织而成的纺织品。目前按照实际加工的棉花来源又区分为原生棉织物和再生棉织物。① 本色白布：普通布面、细布、粗布、帆布、斜纹坯布、原色布。 ② 色布：有硫化蓝布、硫化墨布、士林蓝布、士林灰布、色府绸、各色卡叽、各色华呢。 ③ 花布：是印染上各种各样颜色和图案的布。如：平纹印花布、印花斜纹布、印花哔叽、印花直贡。 ④ 色织布：它是把纱或线先经过染色，后在机器上织成的布如条格布、被单布、绒布、线呢、装饰布等。
实木	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
冬季	冬季是四季之一，秋春之间的季节。天文学上认为是从12月至3月，中国习惯指立冬到立春的三个月时间，也指农历“十、十一（冬）、十二（腊）月”一共三个月。在南北半球所处的时间不同。按气象意义划分，在南半球温带及寒带，冬季在6、7、8月份（也可以按星座标准说是5月21日~8月22日），在北半球温带及寒带，冬季在12、1、2月份（也可以按星座标准说是11月21日~2月18日）。按节气意义划分，冬季从立冬开始，到立春结束，西方人则普遍称冬至至春分为冬季。 从气候学上讲，平均气温连续5天低于10℃算作冬季。
宽松	宽松，汉语词汇。指宽绰；不拥挤；富裕。如：日子过好了，手头宽松了。注音： kuān sōng
中长款	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
婴儿	婴儿是指小于1周岁的儿童。婴儿在这个阶段生长发育得特别迅速，是人一生中生长发育最旺盛的阶段，体重大约为9000～10000克。婴儿足月出生时已具有较好的吸吮吞咽功能，颊部有坚厚的脂肪垫，有助于吸吮活动，早产儿则较差。吸吮动作是复杂的天性反射，严重疾病可影响这一反射，使吸吮变得弱而无力。
欧式	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
女童	泛指2-8岁的女性
包邮	包邮简单的讲即包邮的商品的价格加邮费，拍下后不用补邮费差价。尤其是在现在的电子商务平台都会以包邮来吸引吸引客户前来购买。商家承担运费。有可能是先出运费，也有可能是报销。例如退货如果包邮就是报销。2019年7月9日报道，低价包邮商品在各大电商平台都很常见，“9.9元包邮”已经成为一个消费者习以为常的词语。
潮流	本义指由潮汐引起的水流运动，引申义为流行趋势的动向，比喻社会变动或发展的趋势，在电力工程中特指电网各处电压（包括幅值与相角）、有功功率、无功功率等的分布。
零食	零食，通常是指一日三餐时间点之外的时间里所食用的食品。一般情况下，人的生活中除了一日三餐被称为正餐食物外，其余的一律被称为零食。零食跟食用的时间点有关跟种类无关，比如一般南方人把面食当做零食，但其却是北方人的主食。零食可分为三类，原产品零食、初加工零食和深加工零食。很多一般儿童比较喜欢吃零食，但吃过多深加工零食易造成偏食和肥胖现象。但对于老年人来说适当吃些零食对身体健康有益处，但是多食也是无益的，在选购零食时请注意选择健康零食，尽量少糖。一般情况下原产品零食和初加工零食是健康零食。[Snack;Between-meal nibbles] 一日三餐饭食以外的零星的食品。零食，也称零嘴、零嘴儿、小零嘴。
男装	男装，是指男性穿于身体起保护和装饰作用的服饰制品。包括上装和下装，男装会根据季节和个人的需求有不同的款式和作用。
打底	为了提高密封材料与粘结体之间的粘结性，在接缝表面必须涂打底料的过程叫做打底，对表面脆弱的粘结体，打底可除去灰尘提高面层强度，并可防止混凝土，水泥砂浆中的碱性成份渗出。
进口	进口，是指向非本国居民购买生产或消费所需的原材料、产品、服务。进口的目的是获得更低成本的生产投入，或者是谋求本国没有的产品与服务的垄断利润。
真皮	真皮是使用动物的皮制作加工而成的，概念上相对于人工使用化学纤维材料制成的人造革。市场上所说的真皮一般是头层皮、二层皮、合成皮三种之一。三种皮的价格依次递减。
连衣裙	连衣裙，是指吊带背心和裙子连在一起的服装，属于裙装的一类。连衣裙在各种款式造型中被誉为“时尚皇后”，是变化莫测、种类最多、最受青睐的款式。连衣裙是一个品种的总称，是年轻女孩喜欢的夏装首选之一。根据穿着对象的不同，可有童式连体裤和成人。连衣裙有各种样式。连衣裙还可以根据造型的需要，形成各种不同的轮廓和腰节位置。
卧室	卧室是现有家庭生活中必有需求之一。是供居住者在其内睡觉、休息或进行性活动的房间。卧室又被称作卧房、睡房，分为主卧和次卧。主卧通常指一个家庭场所中最大、装修最好的居住空间（非活动空间）。有时也指家庭中主要收入者的居住空间。次卧指区别于主卧以外的居住空间。
秋季	秋季是春夏秋冬四季之一。从气象意义上划分，北温带的秋季在8月23日（处暑）~11月20日（小雪）；南温带的秋季在2月19日（北半球雨水）~5月21日（北半球小满）。秋季最明显的变化在树木，城市开始清扫大量落叶，山区则涌进不少观赏枫红的游客。
男鞋	男鞋字面上理解为男式鞋。目前分类很多包括皮鞋，正装鞋，休闲鞋，运动鞋，跑鞋，舞蹈鞋等等，男鞋的主要特征是有别于女鞋的秀气和典雅，更显男人商务，大气，休闲的一面，目前男鞋的款式和种类有上千种之多。
上衣	【词目】上衣【拼音】shàng yī【英文】 Tops;Coat;Jacket【解释】1.外衣。2.上身穿的衣服。3.上衣的分类有学生装、军便装、夹克衫、两用衫、T恤等等类型。穿于人体上身的常用服装。一般由领、 袖、 衣身、袋4部分构成，并由此4部分的造型变化形成不同款式。4.传统服饰。外衣。此称始于汉。《论语·乡党》“当暑袗絺绤，必表而出之”，何晏集解引孔安国曰:“暑则单服。絺绤，葛也。
户外	户外，是汉语词汇，汉语拼音为hù wài，指室外露天处，与室内有区别户外活动也就是露天场所的活动。户外多数带有探险性，属于极限和亚极限运动，有很大的挑战性和刺激性。户外运动能拥抱自然，挑战自我，能够培养个人的毅力、团队之间合作精神，提高野外生存能力，深受青年人的欢迎。
男女	主要指男人和女人，男属阳，女属阴。《易·序卦》：“有天地然后有万物，有万物然后有男女，有男女然后有夫妇。”
短款	短款，读作duǎn kuǎn，汉字词语，指结账时现金的数额少于账面的数额。
防水	防水早已不再是一个新鲜的话题，不论是隧道、桥梁、堤坝、道路、建筑还是我们日常居住的房屋，防水都不容忽视。同时，我们日常生活中所使用的电器产品也存在必须直面的防水防潮问题。出处：《史记·周本纪》：“召公曰：‘是鄣之也。防民之口，甚於防水。’”《国语》作“防川”。
大码	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
学生	学生（student）一般指正在学校、学堂或其他学习地方受教育的人，而在研究机构或工作单位（如医院、研究所）学习的人也自称学生，以前与学生的性质相似的还有徒弟、弟子等等。根据学习的不同阶段，我们可以把学生分为：幼儿园学生、小学生、中学生（初中生、高中生、中专生）、高等院校学生（专科生/高职生、本科生、硕士研究生、博士研究生）等等。
百搭	百搭这个词最先是在棋牌游戏中出现的，游戏时一般要组成一种牌组，这种牌组需要特定的几种牌组成。而有些牌是可以随意充当任何牌的（比如王牌），而这类牌就叫“百搭”。
长款	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
收纳	释意[take in] 收进，留下悉数收纳收纳现金1.收留，容纳。 宋 曾巩 《太祖皇帝总叙》：“收纳学士大夫用之，不求其备。” 清 魏源 《圣武记》卷六：“廷议诸臣，恐以收纳逃亡启边衅。” 鲁迅 《坟·未有天才之前》：“做土要扩大了精神，就是收纳新潮，脱离旧套。”2.收集。 鲁迅 《序言》：“现在我将那时所做的文字的错的和至今还有可取之处的，都收纳在这一本里。”
多功能	《多功能》是一款IOS平台的应用。
北欧	北欧（Northern Europe）是政治地理名词，特指北欧理事会的五个主权国家 ：瑞典、挪威、芬兰、丹麦、冰岛。地域包括欧洲北部的挪威、瑞典、芬兰、丹麦和冰岛共五个国家，以及实行内部自治的法罗群岛。北欧西临大西洋，东连东欧，北抵北冰洋，南望中欧，总面积130多万平方千米。地形为台地和蚀余山地，冰蚀湖群、
秋冬季	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
连帽	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
女装	女士穿着的衣物统称为女装。服饰的变迁是一部历史，是一个时代发展的缩影。它是这个时代进步、文明、兴旺发达、繁荣昌盛的象征。它在记录历史变革的同时，也映衬着一种民族的文化，传承着当地的历史文化风俗，女装更是其中不可缺少的一部分。女装品牌与款式的多元化推动了时装的发展。
纯色	纯色是指一种不混有其他色调的色彩或色相。光束或光谱是纯色，但没有一种颜料或色料不含有其他色相的某些成份。在绘画中，纯色也可能意味着直接从锡管中挤出，未和其他色混合的颜色。必要是，仅用白色使色彩亮起来，用更多的同种颜色使色彩深下去，而不用其他颜色。色彩纯净度（purity color）有些不同的意思，按照色彩的类型，指色彩的明晰度。例如，茜素的基调是纯粹明净的，而印度红的基调则比较混浊。色料纯净度（purity of pigment）的意思是不带杂质。
美式	用料材料　　用量青椒1/4红椒1/4洋葱少许培根2片西红柿1/4口蘑1个鸡蛋4枚黄油适量黑胡椒适量食盐少许做法1. 培根切碎，西红柿蘑菇青红椒洋葱切碎。 2. 四枚全蛋加少许盐打散。 3. 不沾锅放黄油融化，先肉后蔬菜撒黑椒，翻炒至熟。
秋装	秋装，顾名思义就是秋季穿的服装。从气象的角度来说，秋季指炎热的季节过后，五天的平均温度在22度以下就算进入秋季。由于秋装与其它季节的服装并没有绝对的界限，不同地方的气温也都相差很大，所以严格界定春装的范围实际上很困难，主要靠人们自己的感觉。春季与秋季的温度较接近，所以有时将这两个季节的服装统称为春秋装。
现代	现代成立于1947年，为韩国汽车品牌，主要生产suv及普通家用轿车，排量为1.6~2.7L之间的车型。
卫衣	卫衣诞生于20世纪30年代的美国纽约，当时是为冷库工作者生产的工装。但由于卫衣舒适温暖的特质逐渐受到运动员的青睐，不久又风靡于橄榄球员女友和音乐明星中。卫衣一般比较宽大，是休闲类服饰中很受顾客青睐的服饰。卫衣兼顾时尚性与功能性，融合了舒适与时尚，成为年轻人街头运动的首选。
长裤	长裤 （chángkù）指由腰及踝，包覆全腿的裤子。一般有运动裤，牛仔裤，哈伦裤，阔腿裤，西裤，颜色更是多种多样。
潮牌	潮牌，多指一些原创品牌，有自己的设计，张扬设计师的独特思想品格、风格和生活态度，整体商品被人认可为潮品的品牌。
透气	透气是汉语词汇，拼音tòu qì，解释为空气通过。
套头	套头，汉语词语，意思是指包头巾。
摆件	摆件，就是摆放在公共区域、桌、柜或者橱里供人欣赏的东西，范围相当广泛。像雕塑、铁艺、铜艺、不锈钢雕塑、不锈钢、石雕、铜雕、玻璃钢、树脂、玻璃制品、陶瓷、瓷、黑陶、陶、红陶、白陶、吹瓶、脱蜡琉璃、水晶、黑水晶、木雕、花艺、花插、浮雕、装饰艺术、仿古、仿古做旧、艺术漆、手绘大理石、特殊油漆等都属于这一系列。摆件的造型有瓶、炉、壶、如意、花瓶、花卉、人物、瑞兽、山水、玉盒、鼎、笔筒、茶具、佛像等。
情侣	情侣是一个汉语词汇，拼音是qíng lǚ，指相互吸引并相爱，在相爱期间约定永不分离。情侣之间的交流方式通常有约会，互送礼物，保持亲密关系等。
毛衣	毛衣，以机器或手工编织的毛线上衣。人类在原始生活中利用树叶、兽皮来蔽体，在渔牧生活中结网捕鱼，就懂得运用编织的技法，随着文明的演进与科技的发明，人类不仅充分利用各类动、植物等天然纤维编织出生活所需的物品，更研发出多种化学纤维、矿物纤维，使人类生活更舒适便利。
显瘦	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
不锈钢	不锈钢（Stainless Steel）是不锈耐酸钢的简称，耐空气、蒸汽、水等弱腐蚀介质或具有不锈性的钢种称为不锈钢；而将耐化学腐蚀介质（酸、碱、盐等化学浸蚀）腐蚀的钢种称为耐酸钢。由于两者在化学成分上的差异而使他们的耐蚀性不同，普通不锈钢一般不耐化学介质腐蚀，而耐酸钢则一般均具有不锈性。“不锈钢”一词不仅仅是单纯指一种不锈钢，而是表示一百多种工业不锈钢，所开发的每种不锈钢都在其特定的应用领域具有良好的性能。成功的关键首先是要弄清用途，然后再确定正确的钢种。和建筑构造应用领域有关的钢种通常只有六种。它们都含有17～22%的铬，较好的钢种还含有镍。添加钼可进一步改善大气腐蚀性，特别是耐含氯化物大气的腐蚀。不锈钢指耐空气、蒸汽、水等弱腐蚀介质和酸、碱、盐等化学浸蚀性介质腐蚀的钢，又称不锈耐酸钢。实际应用中，常将耐弱腐蚀介质腐蚀的钢称为不锈钢，而将耐化学介质腐蚀的钢称为耐酸钢。由于两者在化学成分
迷你	“迷你”，舶来词，是由英文mini一词转化而成的。意为小的，短的，袖珍型的，与“大”相反，通常形容小巧可爱的物品，如“迷你裙”（短裙）等。
夹克	读音：jiā kè 一种短上衣。翻领，对襟，多用暗扣或拉链，便于工作和活动。 沙汀《柳永慧》：“她的装束也换过了，头戴布帽，身穿一件夹克式工作服，上面全是一团团油渍。”1 
短袖	短袖是夏季人们必不可少的服装之一，以其自然，舒适，潇洒又不失庄重之感的优点，而逐步替代过去男士们穿背心或汗衫外加一件短袖衬衫或香港衫的模式，成为人们乐于穿着的时尚。
休闲鞋	休闲鞋是鞋类的一种，主要特色是以一种简单，舒适的设计理念，满足人们日常生活穿着的需求。休闲鞋的概念、内涵和功能便与这种新生活理想和方式紧密相关。人们借助休闲鞋的造型、品牌及内涵去修饰装扮自己、展示自己，从中获得一种审美愉悦和象征性的精神满足。
针织衫	针织衫是利用织针把各种原料和品种的纱线构成线圈，再经串套连接成针织物的工艺产物，即利用织针编织成的衣物。其质地松软，有良好的抗皱性与透气性，并有较大的延伸性与弹性，穿着舒适。
男童	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
陶瓷	陶瓷，英语：china。中国人早在约公元前8000－2000年（新石器时代）就发明了陶器。用陶土烧制的器皿叫陶器，用瓷土烧制的器皿叫瓷器。陶瓷则是陶器、炻器和瓷器的总称。古人称陶瓷为瓯。凡是用陶土和瓷土这两种不同性质的粘土为原料，经过配料、成型、干燥、焙烧等工艺流程制成的器物都可以叫陶瓷。
便携	便携biàn xié，汉语词语，释义为方便随身携带。
裤子	裤子，外文名trousers，泛指人穿在腰部以下的服装，一般由一个裤腰、一个裤裆、两条裤腿缝纫而成，根据材质、造型和受众的不同，有多种分类。
冬装	冬装，顾名思义就是冬天穿的服装。冬装主要有：羽绒服、夹克、毛衣、棉袄和保暖内衣以及围巾等。冬装一般适合冬天穿，当然在寒冷的地方，秋天也就需要穿冬装了。
衬衫	衬衫是一种穿在内外上衣之间、也可单独穿用的上衣。中国周代已有衬衫，称中衣，后称中单。汉代称近身的衫为厕牏。宋代已用衬衫之名。现称之为中式衬衫。公元前16世纪古埃及第18王朝已有衬衫，是无领、袖的束腰衣。14世纪诺曼底人穿的衬衫有领和袖头。16世纪欧洲盛行在衬衫的领和前胸绣花，或在领口、袖口、胸前装饰花边。18世纪末，英国人穿硬高领衬衫。维多利亚女王时期，高领衬衫被淘汰，形成现代的立翻领西式衬衫。19世纪40年代，西式衬衫传入中国。衬衫最初多为男用，20世纪50年代渐被女子采用，现已成为常用服装之一。
羽绒服	羽绒服（down coat）内充羽绒填料的上衣，外形庞大圆润。羽绒服一般鸭绒量占一半以上，同时可以混杂一些细小的羽毛，将鸭绒清洗干净，经高温消毒，之后填充在衣服中就是羽绒服了。羽绒服保暖性最好。多为寒冷地区的人们穿着，也为极地考察人员所常用。
春秋	《春秋》，即《春秋经》，又称《麟经》或《麟史》，中国古代儒家典籍“六经”之一。也是周朝时期鲁国的国史，现存版本由孔子修订而成。《春秋》是中国第一部编年体史书，共三十五卷，是儒家经典之一且为十三经中篇幅最长的，在四库全书中列为经部。记述范围从公元前722（鲁隐公元年）至公元前479年（鲁哀公十六年）。《春秋》用于记事的语言极为简练，然而几乎每个句子都暗含褒贬之意，被后人称为“春秋笔法”、“微言大义”。后来出现了很多对《春秋》所记载的历史进行补充、解释、阐发的书，被称为“传”。代表作品是称为“春秋三传”的《左传》、《公羊传》、《谷梁传》。2019年2月报道，从海昏侯墓出土简牍5200余枚，专家释读后发现包括《春秋》在内的儒家经典及其训传。
手工	手工指非机器设备批量生产而是由人工制作生产。在工业化刚刚兴起时，手工一词一度成为生产率低下、质量参差不齐的代名词。然而，在当代工业生产高度发达的年代，人们逐渐厌倦了由工厂流水线生产出的毫无差别和特色的产品，手工制品又恢复了活力。
印花	印花，由政府出售，贴在契约﹑凭证等上面，作为税款的一种特制印刷品。旧时一种用于缄封公文的凭证，如：印花税票。
圆领	圆领 指领角呈半圆形的领型，也叫圆角领。起源于中东的亚述帝国时代的闪米特人。
保湿	保湿是指皮肤的保湿。当空气温度降低时，皮肤角质层不能及时调节足够的保湿因子，油脂腺活跃度下降，脸上油脂、水分下降，皮肤会出现紧绷现象、甚至在眼下及鼻旁出现细纹，通过使用具有相应效果的护肤、养肤品，滋润皮肤并防止肌肤蒸发、改善微循环，增强肌肤湿润度的过程，就叫保湿，最好的保湿就是肌肤与补水产品的良性互动。
运动	运动，一种涉及体力和技巧且由一套规则或习惯所约束的行为活动，通常具有竞争性。没有不运动的物件，也没有能离开物件的运动。运动具守恒性，即运动既不能被创造又不能被消灭，其具体形式则是多样的并且能互相转化，在转化中运动总量不变。在几何中，刚性运动被描述为：平面到其自身的一个映射且使任意两点A,B的距离与其象A‘=M(A),B'=M(B)的距离相同。哲学上，运动的定义是：物在时空中的线性迁移。词性：并列结构，只是指同一个概念。
日式	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
休闲裤	休闲裤，与正装裤相对而言，就是穿起来显得比较休闲随意的裤子。广义的休闲裤，包含了一切非正式商务、政务、公务场合穿着的裤子。现实生活中主要是指以西裤为模板，在面料、版型方面比西裤随意和舒适，颜色则更加丰富多彩的裤子。休闲裤，面料舒适，款式简约百搭。虽说男士的裤型不像女士裤型那样多变，但是仍然有着自己的变化。
小脚	小脚，又名“三寸金莲”，特指缠足女子的脚，因其“小”而得名。缠足开始于宋朝，兴起于南宋，后传于民间，且越演越烈。
牛仔裤	牛仔裤又称“坚固呢裤”。一种男女穿用的紧身便裤。前身裤片无裥，后身裤片无省，门里襟装拉链，前身裤片左右各设有一只斜袋，后片有尖形贴腰的两个贴袋，袋口接缝处钉有金属铆钉并压有明线装饰。具有耐磨、耐脏，穿着贴身、舒适等特点。牛仔裤一般采用牛仔布(Denim)等靛蓝色水洗面料， 最早出现在美国西部，曾受到当地的矿工和牛仔们的欢迎，在当代仍然十分流行。牛仔裤因为耐磨，有的面料柔软，穿在身上时尚而舒适，受到年轻人的喜爱。
个性	个性亦称“人格”。指个人的精神面貌或心理面貌。个性（人格）一词来自拉丁文“persona”，原指演员所戴的“面具”，后来引申为人物、角色及其内心的特征或心理面貌。在心理学中，个性与人格都有广义和狭义之分。广义的个性与人格是同义词，二者均指个人的一些意识倾向和各种稳定而独特的心理特征的总和。狭义的个性通常指个人心理面貌中与共性相对的个别性，即个人独具的心理特征。狭义的人格通常指个人的一些与意识倾向相联系的心理特征的综合表现，有时，甚至仅指个人的品德、操行。在欧洲，有些心理学家把人格看作是性格的同义词。
沙发	“沙发”是个外来词，根据英语单词sofa 音译而来。为一种装有软垫的多座位椅子。装有弹簧或厚泡沫塑料等的靠背椅，两边有扶手，是软装家具的一种。沙发的起源可追溯到公元前2000年左右的古埃及，但真正意义的软包沙发则出现于十六世纪末至十七世纪初。
夏季	夏季是一年的第二个季节，是四季之一。在大多数地区夏季是气候炎热、有可能缺水的季节，此外，由于夏季时北半球大部份学生都放暑假，因此也是相当旺盛的旅游季节。在北温带，气象意义上的夏季为5月21日（小满）~8月22日（处暑）；在南温带，气象意义上的夏季为11月21日（北半球的小雪）~次年2月18日（北半球的雨水）。
女士	女士是在不确定对方婚姻状况时使用之女性称谓。近代对女性称谓通常视对方已婚与否而定，未婚者称“小姐”（英文：Miss），已婚者称“太太”（英式英文：Mrs/美式英文及旧英式英文 Mrs.）。但有时未必知道对方婚姻状况，或已婚者不欲从夫姓，又或根本不欲别人知道其婚姻状况，即可使用。例如年轻者称“小姐”，较年长者称“女士”；又或不论年纪一律称“女士”。在英语社会，“女士”（英式英文：Ms/美式英文及旧英式英文：Ms.）此称谓由来已久，但广泛使用始于二十世纪后期美国，由于女权高涨，要求男女平等，认为既然男性有不反映婚姻状况之“先生”（英式英文：Mr/美式英文及旧英式英文：Mr.）称谓，亦应有对应不反映婚姻状况之女性称谓，因而产生“女士”此一头衔，并逐渐传至东亚。“女士”亦可用作 Madam 或 Lady 之翻译。而在跨性别课题上，以女士身份社交的人员，仅从其心理性别角度上而不论其生殖性别为女性或男
英伦	英伦三岛是大不列颠及北爱尔兰联合王国的俗称，包括英格兰、苏格兰、威尔士以及北爱尔兰等。“英伦三岛”一词是国人对“英国”或“大不列颠”的别称，一般出现在非正式场合或文学艺术作品中。
组合	组合（combination）是一个数学名词。一般地，从n个不同的元素中，任取m（m≤n）个元素为一组，叫作从n个不同元素中取出m个元素的一个组合。我们把有关求组合的个数的问题叫作组合问题。
